"ticker";"available"
"TCS";0
"TRU";0
"TSLA";1
"SQ";1
"NVTA";1
"CRSP";1
"ARCT";0
"ROKU";1
"TWOU";1
"ILMN";1
"TWST";0
"Z";1
"XLNX";1
"CGEN";0
"TREE";0
"MELI";1
"PRLB";0
"ADYEY";1
"CDNA";0
"KTOS";0
"MTLS";0
"DE";0
"FLIR";1
"JD";1
"EDIT";1
"SSYS";1
"SE";1
"MPNGF";0
"CAT";1
"WORK";1
"CLLS";0
"TRMB";0
"PSNL";0
"TCEHY";0
"AVAV";0
"IOVA";0
"GH";1
"NTLA";0
"BABA";1
"SPLK";1
"INCY";1
"KMTUY";0
"TXG";0
"CERS";0
"PSTG";0
"FATE";0
"SNAP";1
"TER";1
"PACB";0
"VCYT";0
"FB";1
"IBKR";0
"IRDM";0
"PYPL";1
"SYRS";0
"ICE";0
"SPOT";1
"PINS";1
"GBTC";0
"PD";1
"HUYA";1
"VRTX";1
"ISRG";1
"DOCU";1
"NXPI";0
"TWLO";1
"SPCE";1
"BIDU";1
"NFLX";1
"XONE";0
"NSTG";1
"ESLT";1
"IONS";0
"WKHS";0
"HDB";0
"CSTL";0
"TSM";1
"LC";0
"WDAY";1
"NVDA";1
"TWTR";1
"GWRE";0
"INO";1
"ADPT";1
"ANSS";1
"CRM";1
"PDD";1
"ZS";1
"HUBS";1
"TTD";1
"AYX";1
"ADSK";1
"TDOC";1
"SNPS";0
"ADBE";1
"CRWD";1
"VRSK";1
"TEAM";1
"DSY";1
"8473";0
"4689";0
"6060";0
"BYDDY";0
"MCRB";0
"SDGR";0
"SCHW";0
"ROK";1
"9923";0
